"I2C Slave Address
 (7-bit)","Register
 Address (HEX)",B7,B7_dev,B6,B6_dev,B5,B5_dev,B4,B4_dev,B3,B3_dev,B2,B2_dev,B1,B1_dev,B0,B0_dev
0x0b,0x6B,NVSW4_INT_OSFP_TEMP_WARN_N,,NVSW3_INT_OSFP_TEMP_WARN_N,,NVSW2_INT_OSFP_TEMP_WARN_N,,NVSW1_INT_OSFP_TEMP_WARN_N,,NVSW4_INT_TEMP_WARN_N,,NVSW3_INT_TEMP_WARN_N,,NVSW2_INT_TEMP_WARN_N,,NVSW1_INT_TEMP_WARN_N,
0x0b,0x6C,HMC_INT_PRSNT_N,,HERM_INT_PRSNT_N,,CAR_INT_PRSNT_N,,CAR_COME_INT_PRSNT_N,,NVSW4_INT_PRSNT_N,,NVSW3_INT_PRSNT_N,,NVSW2_INT_PRSNT_N,,NVSW1_INT_PRSNT_N,
0x0b,0x6D,GPU8_INT_EROT_FATAL_ERROR_N,,GPU7_INT_EROT_FATAL_ERROR_N,,GPU6_INT_EROT_FATAL_ERROR_N,,GPU5_INT_EROT_FATAL_ERROR_N,,GPU4_INT_EROT_FATAL_ERROR_N,,GPU3_INT_EROT_FATAL_ERROR_N,,GPU2_INT_EROT_FATAL_ERROR_N,,GPU1_INT_EROT_FATAL_ERROR_N,
0x0b,0x6E,RSVD,,RSVD,,HMC_INT_EROT_FATAL_ERROR_N,,PEXSW_INT_EROT_FATAL_ERROR_N,,NVSW4_INT_EROT_FATAL_ERROR_N,,NVSW3_INT_EROT_FATAL_ERROR_N,,NVSW2_INT_EROT_FATAL_ERROR_N,,NVSW1_INT_EROT_FATAL_ERROR_N,
0x0b,0x6F,RSVD,,RSVD,,HMC_OVERT_M_N,,PEX_SW_OVERT_M_N,,HERM_OVERT_M_N,,CAR_COME_OVERT_M_N,,RET4567_OVERT_M_N,,RET0123_OVERT_M_N,
0x0b,0x70,RSVD,,RSVD,,HMC_OVERT_N,,PEX_SW_OVERT_N,,HERM_OVERT_N,,CAR_COME_OVERT_N,,RET4567_OVERT_N,,RET0123_OVERT_N,
0x0b,0x71,GPU8_M_TEMP_WARN_N,,GPU7_M_TEMP_WARN_N,,GPU6_M_TEMP_WARN_N,,GPU5_M_TEMP_WARN_N,,GPU4_M_TEMP_WARN_N,,GPU3_M_TEMP_WARN_N,,GPU2_M_TEMP_WARN_N,,GPU1_M_TEMP_WARN_N,
0x0b,0x72,GPU8_TEMP_WARN_N,,GPU7_TEMP_WARN_N,,GPU6_TEMP_WARN_N,,GPU5_TEMP_WARN_N,,GPU4_TEMP_WARN_N,,GPU3_TEMP_WARN_N,,GPU2_TEMP_WARN_N,,GPU1_TEMP_WARN_N,
0x0b,0x73,FPGA_LM95233_1_TEMP_CRIT0M_N,,RSVD,,FPGA_LM95233_0_TEMP_CRIT0M_N,,"FPGA_LM95233_0_TEMP_CRIT1M_N/
FPGA_TEMP_ALERT_M_N",,PCB_TEMP_ALERTM_3_N,,PCB_TEMP_ALERTM_2_N,,PCB_TEMP_ALERTM_1_N,,PCB_TEMP_ALERTM_0_N,
0x0b,0x74,FPGA_LM95233_1_TEMP_CRIT0_N,,RSVD,,FPGA_LM95233_0_TEMP_CRIT0_N,,"FPGA_LM95233_0_TEMP_CRIT1_N/
FPGA_TEMP_ALERT_N",,PCB_TEMP_ALERT_3_N,,PCB_TEMP_ALERT_2_N,,PCB_TEMP_ALERT_1_N,,PCB_TEMP_ALERT_0_N,
0x0b,0x75,NVSW4_M_OSFP_TEMP_WARN_N,,NVSW3_M_OSFP_TEMP_WARN_N,,NVSW2_M_OSFP_TEMP_WARN_N,,NVSW1_M_OSFP_TEMP_WARN_N,,NVSW4_M_TEMP_WARN_N,,NVSW3_M_TEMP_WARN_N,,NVSW2_M_TEMP_WARN_N,,NVSW1_M_TEMP_WARN_N,
0x0b,0x76,NVSW4_OSFP_TEMP_WARN_N,,NVSW3_OSFP_TEMP_WARN_N,,NVSW2_OSFP_TEMP_WARN_N,,NVSW1_OSFP_TEMP_WARN_N,,NVSW4_TEMP_WARN_N,,NVSW3_TEMP_WARN_N,,NVSW2_TEMP_WARN_N,,NVSW1_TEMP_WARN_N,
0x0b,0x77,HMC_M_PRSNT_N,,HERM_M_PRSNT_N,,CAR_M_PRSNT_N,,CAR_COME_M_PRSNT_N,,NVSW4_M_PRSNT_N,,NVSW3_M_PRSNT_N,,NVSW2_M_PRSNT_N,,NVSW1_M_PRSNT_N,
0x0b,0x78,HMC_PRSNT_N,,HERM_PRSNT_N,,CAR_PRSNT_N,,CAR_COME_PRSNT_N,,NVSW4_PRSNT_N,,NVSW3_PRSNT_N,,NVSW2_PRSNT_N,,NVSW1_PRSNT_N,
0x0b,0x79,GPU8_M_EROT_FATAL_ERROR_N,,GPU7_M_EROT_FATAL_ERROR_N,,GPU6_M_EROT_FATAL_ERROR_N,,GPU5_M_EROT_FATAL_ERROR_N,,GPU4_M_EROT_FATAL_ERROR_N,,GPU3_M_EROT_FATAL_ERROR_N,,GPU2_M_EROT_FATAL_ERROR_N,,GPU1_M_EROT_FATAL_ERROR_N,
0x0b,0x7A,GPU8_EROT_FATAL_ERROR_N,,GPU7_EROT_FATAL_ERROR_N,,GPU6_EROT_FATAL_ERROR_N,,GPU5_EROT_FATAL_ERROR_N,,GPU4_EROT_FATAL_ERROR_N,,GPU3_EROT_FATAL_ERROR_N,,GPU2_EROT_FATAL_ERROR_N,,GPU1_EROT_FATAL_ERROR_N,
0x0b,0x7B,RSVD,,RSVD,,HMC_M_EROT_FATAL_ERROR_N,,PEXSW_M_EROT_FATAL_ERROR_N,,NVSW4_M_EROT_FATAL_ERROR_N,,NVSW3_M_EROT_FATAL_ERROR_N,,NVSW2_M_EROT_FATAL_ERROR_N,,NVSW1_M_EROT_FATAL_ERROR_N,
0x0b,0x7C,RSVD,,RSVD,,HMC_EROT_FATAL_ERROR_N,,PEXSW_EROT_FATAL_ERROR_N,,NVSW4_EROT_FATAL_ERROR_N,,NVSW3_EROT_FATAL_ERROR_N,,NVSW2_EROT_FATAL_ERROR_N,,NVSW1_EROT_FATAL_ERROR_N,
0x0b,0x7D,FPGA_SXM7_EROT_SP1_AP_INT_L,,FPGA_SXM6_EROT_SP1_AP_INT_L,,FPGA_SXM5_EROT_SP1_AP_INT_L,,FPGA_SXM4_EROT_SP1_AP_INT_L,,FPGA_SXM3_EROT_SP1_AP_INT_L,,FPGA_SXM2_EROT_SP1_AP_INT_L,,FPGA_SXM1_EROT_SP1_AP_INT_L,,FPGA_SXM0_EROT_SP1_AP_INT_L,
0x0b,0x7E,RSVD,,RSVD,,FPGA_HMC_EROT_SP1_AP_INT_L,,FPGA_PEXSW_EROT_SP1_AP_INT_L,,FPGA_NVSW3_EROT_SP1_AP_INT_L,,FPGA_NVSW2_EROT_SP1_AP_INT_L,,FPGA_NVSW1_EROT_SP1_AP_INT_L,,FPGA_NVSW0_EROT_SP1_AP_INT_L,
0x0b,0x7F,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,FPGA_EROT_SP1_AP_INT_L,
0x0b,0x80,RSVD,,RSVD,,FPGA_CAR_COMe_SUSB5,,FPGA_CAR_COMe_SUSB4,,FPGA_CAR_COMe_SUSB3,,RSVD,,FPGA_HERM_CPLD_RDY_L,,FPGA_CAR_COME_READY,
0x0b,0x81,FPGA_SXM7_EROT_RECOV_L,,FPGA_SXM6_EROT_RECOV_L,,FPGA_SXM5_EROT_RECOV_L,,FPGA_SXM4_EROT_RECOV_L,,FPGA_SXM3_EROT_RECOV_L,,FPGA_SXM2_EROT_RECOV_L,,FPGA_SXM1_EROT_RECOV_L,,FPGA_SXM0_EROT_RECOV_L,
0x0b,0x82,RSVD,,RSVD,,FPGA_HMC_EROT_RECOV_L,,FPGA_PEXSW_EROT_RECOV_L,,FPGA_NVSW3_EROT_RECOV_L,,FPGA_NVSW2_EROT_RECOV_L,,FPGA_NVSW1_EROT_RECOV_L,,FPGA_NVSW0_EROT_RECOV_L,
0x0b,0x83,FPGA_SXM7_EROT_RST_IN_L,,FPGA_SXM6_EROT_RST_IN_L,,FPGA_SXM5_EROT_RST_IN_L,,FPGA_SXM4_EROT_RST_IN_L,,FPGA_SXM3_EROT_RST_IN_L,,FPGA_SXM2_EROT_RST_IN_L,,FPGA_SXM1_EROT_RST_IN_L,,FPGA_SXM0_EROT_RST_IN_L,
0x0b,0x84,RSVD,,RSVD,,FPGA_HMC_EROT_RST_IN_L,,FPGA_PEXSW_EROT_RST_IN_L,,FPGA_NVSW3_EROT_RST_IN_L,,FPGA_NVSW2_EROT_RST_IN_L,,FPGA_NVSW1_EROT_RST_IN_L,,FPGA_NVSW0_EROT_RST_IN_L,
0x0b,0x85,FPGA_SXM7_EROT_SPI_WP,,FPGA_SXM6_EROT_SPI_WP,,FPGA_SXM5_EROT_SPI_WP,,FPGA_SXM4_EROT_SPI_WP,,FPGA_SXM3_EROT_SPI_WP,,FPGA_SXM2_EROT_SPI_WP,,FPGA_SXM1_EROT_SPI_WP,,FPGA_SXM0_EROT_SPI_WP,
0x0b,0x86,RSVD,,RSVD,,FPGA_HMC_EROT_SPI_WP,,FPGA_PEXSW_EROT_SPI_WP,,FPGA_NVSW3_EROT_SPI_WP,,FPGA_NVSW2_EROT_SPI_WP,,FPGA_NVSW1_EROT_SPI_WP,,FPGA_NVSW0_EROT_SPI_WP,
0x0b,0x87,RSVD,,RSVD,,FPGA_RET_4567_1V8LDO_PWR_EN,,FPGA_RET_4567_1V8VDD_PWR_EN,,FPGA_RET_4567_0V9_PWR_EN,,FPGA_RET_0123_1V8LDO_PWR_EN,,FPGA_RET_0123_1V8VDD_PWR_EN,,FPGA_RET_0123_0V9_PWR_EN,
0x0b,0x88,FPGA_HERM_CPLD_RST_L,,FPGA_CAR_PWR_BTN,,FPGA_HERM_PWR3_EN,,FPGA_HERM_PWR2_EN,,FPGA_HERM_PWR1_EN,,FPGA_CAR_PWR_EN,,FPGA_CAR_COME_PWR_EN,,FPGA_CAR_COME_RST_L,
0x0b,0x89,RSVD,,RSVD,,RSVD,,RSVD,,iCAR_COMe_WD_EXP_ERR(read only),,DirectI2CAccessEn_Hmc (ready only),,DirectI2CAccessEn_Bmc (ready only),,RSVD,
0x0b,0x8A,INJ_ADDR_BIT7,,INJ_ADDR_BIT6,,INJ_ADDR_BIT5,,INJ_ADDR_BIT4,,INJ_ADDR_BIT3,,INJ_ADDR_BIT2,,INJ_ADDR_BIT1,,INJ_ADDR_BIT0,
0x0b,0x8B,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,INJ_ADDR_BIT9,,INJ_ADDR_BIT8,
0x0b,0x8C,RSVD,,RSVD,,RSVD,,TIMER2_EN,,TIMER1_EN,,TIMER_INVERT,,FORCE_HIGH,,FORCE_LOW,
0x0b,0x8D,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,INJ_RESET_BIT0,,INJ_EN_BIT0,,INJ_DATA_WR_EN_BIT0,
0x0b,0x8E,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,
0x0b,0x8F,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,
0x0b,0x90,TIMER1_START_BIT7,,TIMER1_START_BIT6,,TIMER1_START_BIT5,,TIMER1_START_BIT4,,TIMER1_START_BIT3,,TIMER1_START_BIT2,,TIMER1_START_BIT1,,TIMER1_START_BIT0,
0x0b,0x91,TIMER1_START_BIT15,,TIMER1_START_BIT14,,TIMER1_START_BIT13,,TIMER1_START_BIT12,,TIMER1_START_BIT11,,TIMER1_START_BIT10,,TIMER1_START_BIT9,,TIMER1_START_BIT8,
0x0b,0x92,TIMER1_START_BIT23,,TIMER1_START_BIT22,,TIMER1_START_BIT21,,TIMER1_START_BIT20,,TIMER1_START_BIT19,,TIMER1_START_BIT18,,TIMER1_START_BIT17,,TIMER1_START_BIT16,
0x0b,0x93,TIMER1_START_BIT31,,TIMER1_START_BIT30,,TIMER1_START_BIT29,,TIMER1_START_BIT28,,TIMER1_START_BIT27,,TIMER1_START_BIT26,,TIMER1_START_BIT25,,TIMER1_START_BIT24,
0x0b,0x94,TIMER1_PULSE_BIT7,,TIMER1_PULSE_BIT6,,TIMER1_PULSE_BIT5,,TIMER1_PULSE_BIT4,,TIMER1_PULSE_BIT3,,TIMER1_PULSE_BIT2,,TIMER1_PULSE_BIT1,,TIMER1_PULSE_BIT0,
0x0b,0x95,TIMER1_PULSE_BIT15,,TIMER1_PULSE_BIT14,,TIMER1_PULSE_BIT13,,TIMER1_PULSE_BIT12,,TIMER1_PULSE_BIT11,,TIMER1_PULSE_BIT10,,TIMER1_PULSE_BIT9,,TIMER1_PULSE_BIT8,
0x0b,0x96,TIMER1_PULSE_BIT23,,TIMER1_PULSE_BIT22,,TIMER1_PULSE_BIT21,,TIMER1_PULSE_BIT20,,TIMER1_PULSE_BIT19,,TIMER1_PULSE_BIT18,,TIMER1_PULSE_BIT17,,TIMER1_PULSE_BIT16,
0x0b,0x97,TIMER1_PULSE_BIT31,,TIMER1_PULSE_BIT30,,TIMER1_PULSE_BIT29,,TIMER1_PULSE_BIT28,,TIMER1_PULSE_BIT27,,TIMER1_PULSE_BIT26,,TIMER1_PULSE_BIT25,,TIMER1_PULSE_BIT24,
0x0b,0x98,TIMER1_END_BIT7,,TIMER1_END_BIT6,,TIMER1_END_BIT5,,TIMER1_END_BIT4,,TIMER1_END_BIT3,,TIMER1_END_BIT2,,TIMER1_END_BIT1,,TIMER1_END_BIT0,
0x0b,0x99,TIMER1_END_BIT15,,TIMER1_END_BIT14,,TIMER1_END_BIT13,,TIMER1_END_BIT12,,TIMER1_END_BIT11,,TIMER1_END_BIT10,,TIMER1_END_BIT9,,TIMER1_END_BIT8,
0x0b,0x9A,TIMER1_END_BIT23,,TIMER1_END_BIT22,,TIMER1_END_BIT21,,TIMER1_END_BIT20,,TIMER1_END_BIT19,,TIMER1_END_BIT18,,TIMER1_END_BIT17,,TIMER1_END_BIT16,
0x0b,0x9B,TIMER1_END_BIT31,,TIMER1_END_BIT30,,TIMER1_END_BIT29,,TIMER1_END_BIT28,,TIMER1_END_BIT27,,TIMER1_END_BIT26,,TIMER1_END_BIT25,,TIMER1_END_BIT24,
0x0b,0x9C,TIMER1_CTRL_BIT7,,TIMER1_CTRL_BIT6,,TIMER1_CTRL_BIT5,,TIMER1_CTRL_BIT4,,TIMER1_CTRL_BIT3,,TIMER1_CTRL_BIT2,,TIMER1_CTRL_BIT1,,TIMER1_CTRL_BIT0,
0x0b,0x9D,TIMER2_START_BIT7,,TIMER2_START_BIT6,,TIMER2_START_BIT5,,TIMER2_START_BIT4,,TIMER2_START_BIT3,,TIMER2_START_BIT2,,TIMER2_START_BIT1,,TIMER2_START_BIT0,
0x0b,0x9E,TIMER2_START_BIT15,,TIMER2_START_BIT14,,TIMER2_START_BIT13,,TIMER2_START_BIT12,,TIMER2_START_BIT11,,TIMER2_START_BIT10,,TIMER2_START_BIT9,,TIMER2_START_BIT8,
0x0b,0x9F,TIMER2_START_BIT23,,TIMER2_START_BIT22,,TIMER2_START_BIT21,,TIMER2_START_BIT20,,TIMER2_START_BIT19,,TIMER2_START_BIT18,,TIMER2_START_BIT17,,TIMER2_START_BIT16,
0x0b,0xA0,TIMER2_START_BIT31,,TIMER2_START_BIT30,,TIMER2_START_BIT29,,TIMER2_START_BIT28,,TIMER2_START_BIT27,,TIMER2_START_BIT26,,TIMER2_START_BIT25,,TIMER2_START_BIT24,
0x0b,0xA1,TIMER2_PULSE_BIT7,,TIMER2_PULSE_BIT6,,TIMER2_PULSE_BIT5,,TIMER2_PULSE_BIT4,,TIMER2_PULSE_BIT3,,TIMER2_PULSE_BIT2,,TIMER2_PULSE_BIT1,,TIMER2_PULSE_BIT0,
0x0b,0xA2,TIMER2_PULSE_BIT15,,TIMER2_PULSE_BIT14,,TIMER2_PULSE_BIT13,,TIMER2_PULSE_BIT12,,TIMER2_PULSE_BIT11,,TIMER2_PULSE_BIT10,,TIMER2_PULSE_BIT9,,TIMER2_PULSE_BIT8,
0x0b,0xA3,TIMER2_PULSE_BIT23,,TIMER2_PULSE_BIT22,,TIMER2_PULSE_BIT21,,TIMER2_PULSE_BIT20,,TIMER2_PULSE_BIT19,,TIMER2_PULSE_BIT18,,TIMER2_PULSE_BIT17,,TIMER2_PULSE_BIT16,
0x0b,0xA4,TIMER2_PULSE_BIT31,,TIMER2_PULSE_BIT30,,TIMER2_PULSE_BIT29,,TIMER2_PULSE_BIT28,,TIMER2_PULSE_BIT27,,TIMER2_PULSE_BIT26,,TIMER2_PULSE_BIT25,,TIMER2_PULSE_BIT24,
0x0b,0xA5,TIMER2_END_BIT7,,TIMER2_END_BIT6,,TIMER2_END_BIT5,,TIMER2_END_BIT4,,TIMER2_END_BIT3,,TIMER2_END_BIT2,,TIMER2_END_BIT1,,TIMER2_END_BIT0,
0x0b,0xA6,TIMER2_END_BIT15,,TIMER2_END_BIT14,,TIMER2_END_BIT13,,TIMER2_END_BIT12,,TIMER2_END_BIT11,,TIMER2_END_BIT10,,TIMER2_END_BIT9,,TIMER2_END_BIT8,
0x0b,0xA7,TIMER2_END_BIT23,,TIMER2_END_BIT22,,TIMER2_END_BIT21,,TIMER2_END_BIT20,,TIMER2_END_BIT19,,TIMER2_END_BIT18,,TIMER2_END_BIT17,,TIMER2_END_BIT16,
0x0b,0xA8,TIMER2_END_BIT31,,TIMER2_END_BIT30,,TIMER2_END_BIT29,,TIMER2_END_BIT28,,TIMER2_END_BIT27,,TIMER2_END_BIT26,,TIMER2_END_BIT25,,TIMER2_END_BIT24,
0x0b,0xA9,TIMER2_CTRL_BIT7,,TIMER2_CTRL_BIT6,,TIMER2_CTRL_BIT5,,TIMER2_CTRL_BIT4,,TIMER2_CTRL_BIT3,,TIMER2_CTRL_BIT2,,TIMER2_CTRL_BIT1,,TIMER2_CTRL_BIT0,
0x0b,0xAA,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,TIMER2_START,,TIMER1_START,
0x0b,0xAB,GPU8_EROT_SPI_ERROR_INT,,GPU7_EROT_SPI_ERROR_INT,,GPU6_EROT_SPI_ERROR_INT,,GPU5_EROT_SPI_ERROR_INT,,GPU4_EROT_SPI_ERROR_INT,,GPU3_EROT_SPI_ERROR_INT,,GPU2_EROT_SPI_ERROR_INT,,GPU1_EROT_SPI_ERROR_INT,
0x0b,0xAC,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,FPGA_EROT_SPI_ERROR_INT,
0x0b,0xAD,RSVD,,RSVD,,HMC_EROT_SPI_ERROR_INT,,PEXSW_EROT_SPI_ERROR_INT,,NVSW4_EROT_SPI_ERROR_INT,,NVSW3_EROT_SPI_ERROR_INT,,NVSW2_EROT_SPI_ERROR_INT,,NVSW1_EROT_SPI_ERROR_INT,
0x0b,0xAE,RSVD,,RSVD,,RSVD,,RSVD,,HSIO_BACKEND_N_ERROR_INT,,HSIO_BACKEND_FIRST_ERROR_INT,,LSIO_BACKEND_N_ERROR_INT,,LSIO_BACKEND_FIRST_ERROR_INT,
0x0b,0xAF,HSIO_FIFO_DATA_BIT7,,HSIO_FIFO_DATA_BIT6,,HSIO_FIFO_DATA_BIT5,,HSIO_FIFO_DATA_BIT4,,HSIO_FIFO_DATA_BIT3,,HSIO_FIFO_DATA_BIT2,,HSIO_FIFO_DATA_BIT1,,HSIO_FIFO_DATA_BIT0,
0x0b,0xB0,HSIO_FIFO_DATA_BIT15,,HSIO_FIFO_DATA_BIT14,,HSIO_FIFO_DATA_BIT13,,HSIO_FIFO_DATA_BIT12,,HSIO_FIFO_DATA_BIT11,,HSIO_FIFO_DATA_BIT10,,HSIO_FIFO_DATA_BIT9,,HSIO_FIFO_DATA_BIT8,
0x0b,0xB1,HSIO_FIFO_DATA_BIT23,,HSIO_FIFO_DATA_BIT22,,HSIO_FIFO_DATA_BIT21,,HSIO_FIFO_DATA_BIT20,,HSIO_FIFO_DATA_BIT19,,HSIO_FIFO_DATA_BIT18,,HSIO_FIFO_DATA_BIT17,,HSIO_FIFO_DATA_BIT16,
0x0b,0xB2,HSIO_FIFO_DATA_BIT31,,HSIO_FIFO_DATA_BIT30,,HSIO_FIFO_DATA_BIT29,,HSIO_FIFO_DATA_BIT28,,HSIO_FIFO_DATA_BIT27,,HSIO_FIFO_DATA_BIT26,,HSIO_FIFO_DATA_BIT25,,HSIO_FIFO_DATA_BIT24,
0x0b,0xB3,HSIO_FIFO_DATA_BIT39,,HSIO_FIFO_DATA_BIT38,,HSIO_FIFO_DATA_BIT37,,HSIO_FIFO_DATA_BIT36,,HSIO_FIFO_DATA_BIT35,,HSIO_FIFO_DATA_BIT34,,HSIO_FIFO_DATA_BIT33,,HSIO_FIFO_DATA_BIT32,
0x0b,0xB4,HSIO_FIFO_DATA_BIT47,,HSIO_FIFO_DATA_BIT46,,HSIO_FIFO_DATA_BIT45,,HSIO_FIFO_DATA_BIT44,,HSIO_FIFO_DATA_BIT43,,HSIO_FIFO_DATA_BIT42,,HSIO_FIFO_DATA_BIT41,,HSIO_FIFO_DATA_BIT40,
0x0b,0xB5,HSIO_FIFO_DATA_BIT55,,HSIO_FIFO_DATA_BIT54,,HSIO_FIFO_DATA_BIT53,,HSIO_FIFO_DATA_BIT52,,HSIO_FIFO_DATA_BIT51,,HSIO_FIFO_DATA_BIT50,,HSIO_FIFO_DATA_BIT49,,HSIO_FIFO_DATA_BIT48,
0x0b,0xB6,HSIO_FIFO_DATA_BIT63,,HSIO_FIFO_DATA_BIT62,,HSIO_FIFO_DATA_BIT61,,HSIO_FIFO_DATA_BIT60,,HSIO_FIFO_DATA_BIT59,,HSIO_FIFO_DATA_BIT58,,HSIO_FIFO_DATA_BIT57,,HSIO_FIFO_DATA_BIT56,
0x0b,0xB7,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,
0x0b,0xB8,LSIO_FIFO_DATA_BIT7,,LSIO_FIFO_DATA_BIT6,,LSIO_FIFO_DATA_BIT5,,LSIO_FIFO_DATA_BIT4,,LSIO_FIFO_DATA_BIT3,,LSIO_FIFO_DATA_BIT2,,LSIO_FIFO_DATA_BIT1,,LSIO_FIFO_DATA_BIT0,
0x0b,0xB9,LSIO_FIFO_DATA_BIT15,,LSIO_FIFO_DATA_BIT14,,LSIO_FIFO_DATA_BIT13,,LSIO_FIFO_DATA_BIT12,,LSIO_FIFO_DATA_BIT11,,LSIO_FIFO_DATA_BIT10,,LSIO_FIFO_DATA_BIT9,,LSIO_FIFO_DATA_BIT8,
0x0b,0xBA,LSIO_FIFO_DATA_BIT23,,LSIO_FIFO_DATA_BIT22,,LSIO_FIFO_DATA_BIT21,,LSIO_FIFO_DATA_BIT20,,LSIO_FIFO_DATA_BIT19,,LSIO_FIFO_DATA_BIT18,,LSIO_FIFO_DATA_BIT17,,LSIO_FIFO_DATA_BIT16,
0x0b,0xBB,LSIO_FIFO_DATA_BIT31,,LSIO_FIFO_DATA_BIT30,,LSIO_FIFO_DATA_BIT29,,LSIO_FIFO_DATA_BIT28,,LSIO_FIFO_DATA_BIT27,,LSIO_FIFO_DATA_BIT26,,LSIO_FIFO_DATA_BIT25,,LSIO_FIFO_DATA_BIT24,
0x0b,0xBC,LSIO_FIFO_DATA_BIT39,,LSIO_FIFO_DATA_BIT38,,LSIO_FIFO_DATA_BIT37,,LSIO_FIFO_DATA_BIT36,,LSIO_FIFO_DATA_BIT35,,LSIO_FIFO_DATA_BIT34,,LSIO_FIFO_DATA_BIT33,,LSIO_FIFO_DATA_BIT32,
0x0b,0xBD,LSIO_FIFO_DATA_BIT47,,LSIO_FIFO_DATA_BIT46,,LSIO_FIFO_DATA_BIT45,,LSIO_FIFO_DATA_BIT44,,LSIO_FIFO_DATA_BIT43,,LSIO_FIFO_DATA_BIT42,,LSIO_FIFO_DATA_BIT41,,LSIO_FIFO_DATA_BIT40,
0x0b,0xBE,LSIO_FIFO_DATA_BIT55,,LSIO_FIFO_DATA_BIT54,,LSIO_FIFO_DATA_BIT53,,LSIO_FIFO_DATA_BIT52,,LSIO_FIFO_DATA_BIT51,,LSIO_FIFO_DATA_BIT50,,LSIO_FIFO_DATA_BIT49,,LSIO_FIFO_DATA_BIT48,
0x0b,0xBF,LSIO_FIFO_DATA_BIT63,,LSIO_FIFO_DATA_BIT62,,LSIO_FIFO_DATA_BIT61,,LSIO_FIFO_DATA_BIT60,,LSIO_FIFO_DATA_BIT59,,LSIO_FIFO_DATA_BIT58,,LSIO_FIFO_DATA_BIT57,,LSIO_FIFO_DATA_BIT56,
0x0b,0xC0,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,,RSVD,
0x0b,0xC1,RSVD,,RSVD,,RSVD,,RSVD,,HSIO_M_BACKEND_N_ERROR,,HSIO_M_BACKEND_FIRST_ERROR,,LSIO_M_BACKEND_N_ERROR,,LSIO_M_BACKEND_FIRST_ERROR,
0x0b,0xC2,GPU1_EROT_SPI_ERROR_BIT7,,GPU1_EROT_SPI_ERROR_BIT6,,GPU1_EROT_SPI_ERROR_BIT5,,GPU1_EROT_SPI_ERROR_BIT4,,GPU1_EROT_SPI_ERROR_BIT3,,GPU1_EROT_SPI_ERROR_BIT2,,GPU1_EROT_SPI_ERROR_BIT1,,GPU1_EROT_SPI_ERROR_BIT0,
0x0b,0xC3,GPU2_EROT_SPI_ERROR_BIT7,,GPU2_EROT_SPI_ERROR_BIT6,,GPU2_EROT_SPI_ERROR_BIT5,,GPU2_EROT_SPI_ERROR_BIT4,,GPU2_EROT_SPI_ERROR_BIT3,,GPU2_EROT_SPI_ERROR_BIT2,,GPU2_EROT_SPI_ERROR_BIT1,,GPU2_EROT_SPI_ERROR_BIT0,
0x0b,0xC4,GPU3_EROT_SPI_ERROR_BIT7,,GPU3_EROT_SPI_ERROR_BIT6,,GPU3_EROT_SPI_ERROR_BIT5,,GPU3_EROT_SPI_ERROR_BIT4,,GPU3_EROT_SPI_ERROR_BIT3,,GPU3_EROT_SPI_ERROR_BIT2,,GPU3_EROT_SPI_ERROR_BIT1,,GPU3_EROT_SPI_ERROR_BIT0,
0x0b,0xC5,GPU4_EROT_SPI_ERROR_BIT7,,GPU4_EROT_SPI_ERROR_BIT6,,GPU4_EROT_SPI_ERROR_BIT5,,GPU4_EROT_SPI_ERROR_BIT4,,GPU4_EROT_SPI_ERROR_BIT3,,GPU4_EROT_SPI_ERROR_BIT2,,GPU4_EROT_SPI_ERROR_BIT1,,GPU4_EROT_SPI_ERROR_BIT0,
0x0b,0xC6,GPU5_EROT_SPI_ERROR_BIT7,,GPU5_EROT_SPI_ERROR_BIT6,,GPU5_EROT_SPI_ERROR_BIT5,,GPU5_EROT_SPI_ERROR_BIT4,,GPU5_EROT_SPI_ERROR_BIT3,,GPU5_EROT_SPI_ERROR_BIT2,,GPU5_EROT_SPI_ERROR_BIT1,,GPU5_EROT_SPI_ERROR_BIT0,
0x0b,0xC7,GPU6_EROT_SPI_ERROR_BIT7,,GPU6_EROT_SPI_ERROR_BIT6,,GPU6_EROT_SPI_ERROR_BIT5,,GPU6_EROT_SPI_ERROR_BIT4,,GPU6_EROT_SPI_ERROR_BIT3,,GPU6_EROT_SPI_ERROR_BIT2,,GPU6_EROT_SPI_ERROR_BIT1,,GPU6_EROT_SPI_ERROR_BIT0,
